Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 09:51:47,"3.11783, 101.6242517",135 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 09:52:22,"3.1205083, 101.6221617",43 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 09:53:52,"3.1180917, 101.6197317",159 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 09:58:17,"3.1120067, 101.6191517",119 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 10:01:12,"3.1098733, 101.6165867",197 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 09:15:43,"3.1102769, 101.6121555",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 09:15:55,"3.10892, 101.6113517",139 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 09:18:48,"3.1074267, 101.6071233",92 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 09:19:33,"3.1092767, 101.60539",190 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 09:20:18,"3.1094967, 101.599945",50 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 09:20:38,"3.1094467, 101.597515",179 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 09:22:53,"3.1014533, 101.5987017",147 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 09:23:48,"3.102015, 101.6004033",31 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 09:25:08,"3.1031253, 101.6004115",48 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 09:27:33,"3.1046121, 101.6003436",59 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 09:30:08,"3.105335, 101.6059967",147 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 09:31:08,"3.10324, 101.60677",15 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 09:31:28,"3.1017917, 101.6058817",92 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 09:32:23,"3.0990717, 101.6039917",179 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 09:33:13,"3.0971817, 101.6047067",11 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 09:33:28,"3.096655, 101.6054117",9 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 09:33:53,"3.0961433, 101.6060117",31 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 09:34:43,"3.0987183, 101.6070833",31 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 09:35:28,"3.1020683, 101.6084383",114 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 09:36:08,"3.1015633, 101.61176",175 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 09:37:58,"3.10285, 101.616375",194 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 09:38:58,"3.1074817, 101.61625",130 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 09:39:18,"3.1092983, 101.617025",86 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 09:15:43,"3.1102769, 101.6121555",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 09:15:55,"3.10892, 101.6113517",149 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 09:36:28,"3.1015783, 101.61301",134 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 09:39:33,"3.110015, 101.6163433",166 meter,4
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 09:46:41,"3.1101167, 101.6177117",134 meter,Sequence
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 09:48:11,"3.1107917, 101.61417",159 meter,23
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 09:43:31,"3.1181767, 101.6196",176 meter,Sequence
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 09:44:51,"3.1164433, 101.621825",136 meter,30
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 09:45:51,"3.1140367, 101.620895",34 meter,31
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 09:46:11,"3.1124717, 101.619645",184 meter,26
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 09:46:16,"3.111985, 101.6191783",119 meter,25
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 09:47:51,"3.1102, 101.6161583",139 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 09:48:16,"3.110835, 101.6137217",110 meter,33
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:58:32,"3.111153, 101.6123743",66 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 09:01:59,"3.1081233, 101.6111783",50 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 09:03:49,"3.1016317, 101.6149783",183 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 09:04:39,"3.1014867, 101.6107917",160 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 09:32:39,"3.1105217, 101.6179933",177 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:58:32,"3.111153, 101.6123743",66 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 09:01:59,"3.1081233, 101.6111783",60 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 09:02:29,"3.1061833, 101.610735",128 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 09:03:39,"3.1026067, 101.6150567",153 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 09:04:49,"3.10041, 101.610855",98 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 09:05:09,"3.0976483, 101.610915",92 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 09:06:29,"3.0923967, 101.6109217",74 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 09:07:09,"3.08913, 101.6129517",146 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 09:08:19,"3.0900583, 101.6149333",6 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 09:09:44,"3.0924256, 101.6150058",197 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 09:10:29,"3.0945283, 101.61691",112 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 09:16:34,"3.0946327, 101.6273666",187 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 09:16:59,"3.0959383, 101.62902",179 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 09:19:09,"3.0969217, 101.6321617",178 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 09:19:39,"3.1001117, 101.6323033",69 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 09:19:59,"3.1014, 101.6315417",100 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 09:20:44,"3.1022883, 101.6294567",130 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 09:21:19,"3.1039883, 101.626765",111 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 09:21:59,"3.1061933, 101.625795",81 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 09:23:19,"3.1088333, 101.62447",172 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 09:24:49,"3.11121, 101.6221767",135 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 09:25:44,"3.1129233, 101.620055",125 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 09:26:24,"3.1146217, 101.621285",80 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 09:26:49,"3.1167167, 101.6229817",47 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 09:27:09,"3.1178767, 101.6242617",130 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 09:27:39,"3.12079, 101.62178",10 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 09:28:39,"3.1181267, 101.61971",163 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 09:32:19,"3.1121517, 101.6192667",140 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 09:34:19,"3.10992, 101.6165117",187 meter,32
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 09:14:02,"3.1104467, 101.617955",170 meter,Sequence
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 09:15:12,"3.110665, 101.6145033",195 meter,23
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 09:07:42,"3.1180467, 101.6197433",155 meter,Sequence
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 09:08:52,"3.11623, 101.62206",119 meter,30
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 09:11:22,"3.1144617, 101.6211833",88 meter,31
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 09:13:22,"3.111805, 101.6190667",96 meter,26
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 09:14:57,"3.110205, 101.6161417",137 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 09:15:22,"3.1109017, 101.6133217",68 meter,33
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:43:32,"3.1111229, 101.6121918",78 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 08:45:36,"3.108335, 101.61118",73 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 08:46:56,"3.1074233, 101.607995",181 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 08:48:11,"3.1093367, 101.60518",166 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 08:48:46,"3.1094783, 101.600205",79 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 08:49:01,"3.1094767, 101.5976983",199 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 08:50:56,"3.1015217, 101.5986167",155 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 08:52:01,"3.1020167, 101.60042",31 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 08:52:11,"3.10308, 101.600395",53 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 08:52:26,"3.1044183, 101.60034",77 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 08:54:46,"3.1053967, 101.6057517",174 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 08:55:41,"3.1032667, 101.6067633",18 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 08:56:01,"3.1019133, 101.6059917",110 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 08:57:06,"3.0989417, 101.6039317",167 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 08:58:06,"3.0971567, 101.604735",6 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 08:58:26,"3.0964683, 101.6055667",18 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 08:58:56,"3.096135, 101.6060171",30 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 08:59:51,"3.0976833, 101.6070383",145 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 09:01:26,"3.1020683, 101.608455",113 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 09:01:56,"3.1015817, 101.61165",187 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 09:03:26,"3.1028583, 101.61635",193 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 09:04:26,"3.10689, 101.6161967",195 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 09:04:56,"3.1093117, 101.616985",82 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:43:32,"3.1111229, 101.6121918",78 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 08:45:36,"3.108335, 101.61118",82 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 09:02:16,"3.1016333, 101.6132667",106 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 09:05:11,"3.10992, 101.6164017",176 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:37:47,"3.1110938, 101.6125297",51 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 08:41:35,"3.1087983, 101.61142",127 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 08:43:20,"3.101925, 101.6149367",183 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 08:44:25,"3.1015483, 101.6109683",179 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 09:21:25,"3.1101867, 101.61771",136 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:37:47,"3.1110938, 101.6125297",51 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 08:41:35,"3.1087983, 101.61142",139 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 08:42:10,"3.1061033, 101.6107767",119 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 08:43:10,"3.1027467, 101.614925",158 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 08:44:35,"3.10079, 101.6109217",139 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 08:45:20,"3.0980667, 101.6109083",138 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 08:46:40,"3.093446, 101.6108964",190 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 08:48:00,"3.0893117, 101.612875",162 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 08:49:10,"3.0894017, 101.61491",77 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 08:50:30,"3.092475, 101.6152367",172 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 08:51:30,"3.0949, 101.6170883",69 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 08:58:55,"3.0947635, 101.6273333",175 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 08:59:25,"3.095907, 101.6291921",161 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 09:00:55,"3.0970333, 101.632165",166 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 09:01:30,"3.1000467, 101.6323083",74 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 09:02:00,"3.1013706, 101.6316516",112 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 09:03:25,"3.1026267, 101.62944",94 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 09:04:10,"3.1039133, 101.6266433",100 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 09:04:45,"3.10594, 101.6258133",105 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 09:05:55,"3.1087767, 101.6246167",190 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 09:08:35,"3.11101, 101.6224467",172 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 09:09:15,"3.112945, 101.61998",127 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 09:09:55,"3.114885, 101.6214333",47 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 09:12:15,"3.1163733, 101.62272",93 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 09:14:45,"3.117945, 101.6241617",119 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 09:15:15,"3.1202233, 101.6225433",96 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 09:16:40,"3.118215, 101.619555",182 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 09:20:50,"3.1125067, 101.6195",187 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 09:23:25,"3.1098429, 101.6165604",196 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:28:55,"3.1112534, 101.6122939",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 08:30:04,"3.10902, 101.6114533",151 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 08:31:19,"3.1074417, 101.6077633",155 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 08:32:19,"3.1093817, 101.6048783",133 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 08:32:49,"3.1094933, 101.601055",173 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 08:33:14,"3.1094983, 101.5973417",164 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 08:34:59,"3.1015267, 101.5986383",153 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 08:35:59,"3.102475, 101.6004417",21 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 08:36:04,"3.1029517, 101.6004117",67 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 08:36:24,"3.104525, 101.60031",69 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 08:38:44,"3.1053533, 101.60568",180 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 08:39:59,"3.1038883, 101.6071067",95 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 08:40:39,"3.1021133, 101.6060717",133 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 08:41:54,"3.0986583, 101.6036817",152 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 08:42:44,"3.0971683, 101.6046433",16 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 08:43:04,"3.0964583, 101.6055717",19 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 08:43:34,"3.0961318, 101.6059659",35 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 08:44:14,"3.0977567, 101.6070533",137 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 08:45:09,"3.1022517, 101.6080833",159 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 08:45:49,"3.1015733, 101.6118683",163 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 08:47:29,"3.1028933, 101.6163717",189 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 08:48:34,"3.1073333, 101.6162233",147 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 08:48:59,"3.10932, 101.6169517",79 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:28:55,"3.1112534, 101.6122939",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 08:30:04,"3.10902, 101.6114533",163 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 08:45:59,"3.1015833, 101.6125167",188 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 08:49:14,"3.109945, 101.6164083",176 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:17:42,"3.1112049, 101.6125716",60 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 08:20:38,"3.1090583, 101.61145",155 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 08:22:13,"3.1016767, 101.61498",184 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 08:23:28,"3.1015717, 101.611055",189 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 08:53:23,"3.1102867, 101.6178417",153 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 08:17:42,"3.1112049, 101.6125716",60 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 08:20:38,"3.1090583, 101.61145",167 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 08:21:28,"3.1056133, 101.6112233",54 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 08:22:03,"3.1027317, 101.61496",158 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 08:23:33,"3.1013333, 101.6108383",199 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 08:24:23,"3.0978233, 101.6109417",111 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 08:26:48,"3.093295, 101.6109317",173 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 08:27:58,"3.0884683, 101.6130967",120 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 08:28:43,"3.0897933, 101.6149733",35 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 08:29:38,"3.0924455, 101.6150344",193 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 08:30:53,"3.09542, 101.6175117",18 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 08:36:23,"3.0946261, 101.6273696",188 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 08:36:58,"3.0960767, 101.6298267",88 meter,16
